ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
104210429,Devlet,GAZİANTEP ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",---,---,"316,79253",---,"411,95451",157.354,---,6,"423,490","84,7"
104410066,Devlet,GEBZE TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",1,1,"391,03680",---,"425,53728",71.952,---,2,"438,534","87,7"
105090103,Devlet,HARRAN ÜNİVERSİTESİ ,Güzel Sanatlar Fakültesi,SAY,Ücretsiz,60,2,62,62,---,62,---,"% 100,0",---,---,"282,05863",---,"370,53073",231.862,---,2,"404,300","80,9"
107710415,Devlet,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,75,---,75,7,"% 91,5",2,9,Dolmadı,---,"391,76613",Dolmadı,---,4,"405,298","81,1"
110790023,Devlet,İSKENDERUN TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,72,---,72,---,"% 100,0",---,---,"304,44769",---,"355,01823",179.832,---,5,"407,588","81,5"
105510477,Devlet,İSTANBUL TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,110,3,113,110,3,113,---,"% 100,0",---,---,"454,36221",---,"507,63608",27.657,---,4,"458,770","91,8"
105510865,Devlet,İSTANBUL TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,60,2,62,60,2,62,---,"% 100,0",---,---,"474,15344",---,"522,86014",16.990,---,2,"458,742","91,7"
105590126,Devlet,İSTANBUL TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,15,---,15,0,---,---,15,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
105690584,Devlet,İSTANBUL ÜNİVERSİTESİ  ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,70,2,72,---,"% 100,0",---,---,"407,57482",---,"441,88315",58.952,---,1,"431,394","86,3"
111110074,Devlet,İZMİR DEMOKRASİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"367,01792",---,"411,17823",93.336,---,3,"436,166","87,2"
105810041,Devlet,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",---,---,"411,55347",---,"477,67286",55.957,---,2,"446,100","89,2"
106110884,Devlet,KARABÜK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,65,---,65,28,"% 69,9",---,19,Dolmadı,---,"377,35486",Dolmadı,---,1,"409,508","81,9"
106210335,Devlet,KARADENİZ TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"373,10882",---,"422,24928",87.493,---,4,"435,323","87,1"
106710278,Devlet,KIRKLARELİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,76,---,76,17,"% 81,7",5,18,Dolmadı,---,"392,09808",Dolmadı,---,5,"403,495","80,7"
106910276,Devlet,KOCAELİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"372,82844",---,"428,93891",87.754,---,5,"430,624","86,1"
111310694,Devlet,KONYA TEKNİK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,100,3,103,101,2,103,---,"% 100,0",---,---,"353,72160",---,"456,47436",107.289,---,4,"436,057","87,2"
107110015,Devlet,MARDİN ARTUKLU ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,45,---,45,37,"% 54,9",1,9,Dolmadı,---,"357,36400",Dolmadı,---,3,"408,134","81,6"
107410287,Devlet,MERSİN ÜNİVERSİTESİ  ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",2,2,"310,60283",---,"400,68736",168.224,---,6,"410,441","82,1"
107510092,Devlet,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,110,3,113,110,3,113,---,"% 100,0",1,1,"434,16158",---,"460,93520",40.124,---,---,"448,816","89,8"
107690157,Devlet,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,70,2,72,---,"% 100,0",---,---,"351,78829",---,"400,47976",109.389,---,3,"428,033","85,6"
